# Time (s),Longitudinal moment of inertia (kg·m²),,,,Corrective Moment Coefficient (),C2r,C2r (Aerodynamic),C2,DR,Air temperature (K),Air pressure (mbar),Exhaust Velocity () / Tail Velocity,CP location (cm),CG location (cm),CP NEW(m),CG NEW (m),mass flow rate,Total velocity (m/s),Total acceleration (m/s²),Mass (g),Normal force coefficient (​),,# Angle of attack (°),Reference area (cm²)
0.02,1.44,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.25",0.00,NaN,122.35,NaN,NaN,0.47,0.06,3.18,"5,961.14",NaN,,88.322,67.137
2.8,1.272,,,,380.66,0.03,7.63,7.65,0.17,285.06,957.54,"1,895.09",146.19,117.20,1.46,1.17,0.34,338.05,90.97,"4,816.01",0.05,,0.277,67.137
2.836,1.27,,,,380.56,0.03,1.07,1.10,0.03,284.98,956.11,"1,927.77",146.74,117.13,1.47,1.17,0.34,341.05,83.38,"4,803.02",0.01,,0.039,67.137
2.89,1.266,,,,385.29,0.03,1.65,1.68,0.04,284.86,953.98,"1,909.79",146.83,117.02,1.47,1.17,0.34,345.26,76.88,"4,783.54",0.01,,0.057,67.137
2.932,1.264,,,,418.54,0.03,0.94,0.97,0.02,284.77,952.36,"1,898.57",146.99,116.93,1.47,1.17,0.33,348.26,71.02,"4,768.37",0.01,,0.029,67.137
2.995,1.26,,,,444.63,0.03,0.58,0.61,0.01,284.63,949.90,"1,926.80",147.15,116.80,1.47,1.17,0.33,352.37,64.26,"4,745.60",0.00,,0.017,67.137
3.072,1.256,,,,403.41,0.03,3.17,3.20,0.07,284.45,946.85,"1,915.26",147.16,116.65,1.47,1.17,0.33,356.92,58.35,"4,719.54",0.02,,0.099,67.137
3.172,1.25,,,,439.71,0.03,1.87,1.90,0.04,284.22,942.83,"1,938.17",147.47,116.46,1.47,1.16,0.33,362.61,56.08,"4,686.12",0.01,,0.053,67.137
3.236,1.247,,,,415.32,0.03,2.35,2.38,0.05,284.06,940.23,"1,924.71",147.58,116.33,1.48,1.16,0.32,366.14,54.79,"4,664.73",0.01,,0.068,67.137
3.332,1.242,,,,441.07,0.03,8.49,8.52,0.18,283.83,936.27,"1,941.80",147.49,116.14,1.47,1.16,0.32,371.31,53.52,"4,632.91",0.04,,0.231,67.137
3.369,1.24,,,,413.02,0.03,1.36,1.39,0.03,283.74,934.73,"1,928.21",147.94,116.06,1.48,1.16,0.32,373.27,52.75,"4,620.63",0.01,,0.038,67.137
3.425,1.237,,,,446.46,0.03,2.99,3.03,0.06,283.61,932.40,"1,935.72",147.99,115.95,1.48,1.16,0.32,376.18,52.12,"4,602.20",0.01,,0.077,67.137
3.508,1.232,,,,455.77,0.03,7.74,7.77,0.16,283.40,928.88,"1,937.95",147.95,115.80,1.48,1.16,0.32,380.22,48.10,"4,577.53",0.03,,0.192,67.137
3.532,1.231,,,,460.86,0.03,3.35,3.38,0.07,283.34,927.85,"1,935.39",148.20,115.76,1.48,1.16,0.31,381.12,38.06,"4,570.83",0.01,,0.081,67.137
3.566,1.23,,,,444.85,0.03,1.70,1.73,0.04,283.26,926.44,"1,932.23",148.33,115.70,1.48,1.16,0.31,382.19,32.18,"4,561.66",0.01,,0.042,67.137
3.615,1.227,,,,475.26,0.03,1.72,1.75,0.04,283.14,924.31,"1,946.54",148.39,115.62,1.48,1.16,0.31,383.39,23.82,"4,547.90",0.01,,0.04,67.137
3.666,1.225,,,,492.73,0.03,1.49,1.52,0.03,283.01,922.13,"1,942.31",148.43,115.53,1.48,1.16,0.31,384.08,13.71,"4,533.84",0.01,,0.033,67.137
3.715,1.223,,,,426.60,0.03,1.50,1.53,0.03,282.89,920.02,"1,939.19",148.44,115.47,1.48,1.15,0.30,384.29,4.38,"4,523.80",0.01,,0.038,67.137
